Duration (in seconds),RecordedDate,LocationLatitude,LocationLongitude,class_baseline,personality_baseline,grade_baseline,class,gender_p,class_p,personality_p,grade_p,personality,grade,Treatment
62,2019-12-05 15:27:49,37.751007080078125,-97.82199859619140625,Sophomore,Logical,A-(3.5-3.75),Senior,Female,Graduates,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
44,2019-12-05 15:30:52,42.346405029296875,-71.097503662109375,Junior,Logical,B(3.0-3.25),Senior,Female,Graduates,Logical,A-(3.5-3.75),Emotional,A-(3.5-3.75),FALSE
54,2019-12-05 15:31:20,42.346405029296875,-71.097503662109375,Senior,Logical,B+(3.25-3.5),Sophomore,Male,Graduates,Logical,A-(3.5-3.75),Emotional,B(3.0-3.25),FALSE
47,2019-12-05 15:33:17,51.453399658203125,-2.5077056884765625,Sophomore,Logical,A-(3.5-3.75),Junior,Male,Senior,Prefer not to say,B(3.0-3.25),Emotional,B-(2.75-3.0),FALSE
66,2019-12-05 15:36:26,42.346405029296875,-71.097503662109375,Senior,Emotional,B(3.0-3.25),Graduates,Male,Graduates,Logical,B+(3.25-3.5),Logical,B+(3.25-3.5),FALSE
62,2019-12-05 15:36:39,29.7227935791015625,-95.42510223388671875,Graduates,Emotional,B(3.0-3.25),Junior,Female,Graduates,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
77,2019-12-05 15:39:45,47.6092071533203125,-122.3314056396484375,Freshman,Emotional,A-(3.5-3.75),Freshman,Male,Other,Logical,A-(3.5-3.75),Emotional,B(3.0-3.25),FALSE
65,2019-12-05 15:41:11,42.346405029296875,-71.097503662109375,Graduates,Emotional,B+(3.25-3.5),Graduates,Male,Graduates,Emotional,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
46,2019-12-05 15:42:55,39.9586944580078125,-82.9987030029296875,Graduates,Emotional,A(3.75-4.0),Graduates,Male,Graduates,Prefer not to say,B(3.0-3.25),Logical,A(3.75-4.0),FALSE
51,2019-12-05 15:44:46,43.18060302734375,-77.5948028564453125,Junior,Logical,A-(3.5-3.75),Senior,Female,Senior,Logical,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
73,2019-12-05 15:45:40,40.789398193359375,-73.58550262451171875,Graduates,Emotional,B+(3.25-3.5),Graduates,Male,Graduates,Logical,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
65,2019-12-05 15:46:44,40.6739959716796875,-73.97010040283203125,Senior,Emotional,A-(3.5-3.75),Freshman,Female,Senior,Logical,A-(3.5-3.75),Emotional,B(3.0-3.25),FALSE
121,2019-12-05 15:47:22,42.3634033203125,-71.07129669189453125,Senior,Logical,A-(3.5-3.75),Sophomore,Female,Graduates,Logical,B(3.0-3.25),Emotional,B+(3.25-3.5),FALSE
51,2019-12-05 15:49:24,42.34979248046875,-71.07649993896484375,Graduates,Emotional,B+(3.25-3.5),Sophomore,Female,Graduates,Prefer not to say,A-(3.5-3.75),Emotional,A-(3.5-3.75),FALSE
986,2019-12-05 15:49:59,42.346405029296875,-71.097503662109375,,,,,,,,,,,FALSE
79,2019-12-05 15:52:53,37.751007080078125,-97.82199859619140625,Junior,Logical,A-(3.5-3.75),Freshman,Male,Graduates,Logical,A-(3.5-3.75),Emotional,B+(3.25-3.5),FALSE
87,2019-12-05 15:54:32,48.8542938232421875,2.3527069091796875,Graduates,Logical,B+(3.25-3.5),Junior,Female,Graduates,Logical,B+(3.25-3.5),Emotional,B+(3.25-3.5),FALSE
