Duration..in.seconds.,RecordedDate,LocationLatitude,LocationLongitude,class_baseline,personality_baseline,grade_baseline,class,gender_p,class_p,personality_p,grade_p,personality,grade,Treatment
62,2019-12-05 15:27:49,37.751007080078125,-97.8219985961914,Sophomore,1,8,Senior,0,Graduates,0,8,0,7,FALSE
44,2019-12-05 15:30:52,42.346405029296875,-71.097503662109375,Junior,1,6,Senior,0,Graduates,1,8,0,8,FALSE
54,2019-12-05 15:31:20,42.346405029296875,-71.097503662109375,Senior,1,7,Sophomore,1,Graduates,1,8,0,6,FALSE
47,2019-12-05 15:33:17,51.453399658203125,-2.5077056884765625,Sophomore,1,8,Junior,1,Senior,NA,6,0,5,FALSE
66,2019-12-05 15:36:26,42.346405029296875,-71.097503662109375,Senior,0,6,Graduates,1,Graduates,1,7,1,7,FALSE
62,2019-12-05 15:36:39,29.722793579101562,-95.42510223388672,Graduates,0,6,Junior,0,Graduates,0,8,0,7,FALSE
77,2019-12-05 15:39:45,47.60920715332031,-122.33140563964844,Freshman,0,8,Freshman,1,Other,1,8,0,6,FALSE
65,2019-12-05 15:41:11,42.346405029296875,-71.097503662109375,Graduates,0,7,Graduates,1,Graduates,0,8,0,7,FALSE
46,2019-12-05 15:42:55,39.95869445800781,-82.99870300292969,Graduates,0,9,Graduates,1,Graduates,NA,6,1,9,FALSE
51,2019-12-05 15:44:46,43.18060302734375,-77.59480285644531,Junior,1,8,Senior,0,Senior,1,8,0,7,FALSE
73,2019-12-05 15:45:40,40.789398193359375,-73.58550262451172,Graduates,0,7,Graduates,1,Graduates,1,8,0,7,FALSE
65,2019-12-05 15:46:44,40.67399597167969,-73.97010040283203,Senior,0,8,Freshman,0,Senior,1,8,0,6,FALSE
121,2019-12-05 15:47:22,42.3634033203125,-71.07129669189453,Senior,1,8,Sophomore,0,Graduates,1,6,0,7,FALSE
51,2019-12-05 15:49:24,42.34979248046875,-71.07649993896484,Graduates,0,7,Sophomore,0,Graduates,NA,8,0,8,FALSE
79,2019-12-05 15:52:53,37.751007080078125,-97.8219985961914,Junior,1,8,Freshman,1,Graduates,1,8,0,7,FALSE
87,2019-12-05 15:54:32,48.85429382324219,2.3527069091796875,Graduates,1,7,Junior,0,Graduates,1,7,0,7,FALSE
1305,2019-12-05 15:56:16,40.86219787597656,-73.89019775390625,Graduates,0,6,Senior,0,Graduates,0,8,1,8,FALSE
86,2019-12-05 15:58:26,42.346405029296875,-71.097503662109375,Sophomore,0,7,Senior,0,Graduates,1,8,1,8,FALSE
59,2019-12-05 15:58:53,42.46519470214844,-83.37129974365234,Freshman,0,4,Senior,0,Graduates,1,8,0,5,FALSE
93,2019-12-05 15:58:56,42.297393798828125,-71.07219696044922,Sophomore,0,7,Junior,0,Graduates,NA,7,1,8,FALSE
