StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1_First Click,Q2.1_Last Click,Q2.1_Page Submit,Q2.1_Click Count,Q2.3,Q2.4,Q2.5,Q3.1_First Click,Q3.1_Last Click,Q3.1_Page Submit,Q3.1_Click Count,Q3.3,Q3.4,Q3.5,Q4.1_First Click,Q4.1_Last Click,Q4.1_Page Submit,Q4.1_Click Count,Q4.3,Q4.4,Q4.5,Q5.1,Q5.2,Q5.3,Q5.4,Q48
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please guess the year of this person.,Please guess this person's personality.,Please guess the letter grade of this person.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please guess the year of this person.,Please guess this person's personality.,Please guess the letter grade of this person.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please guess the year of this person.,Please guess this person's personality.,Please guess the letter grade of this person.,What is your gender?,What year are your?,What's your personality?,What's your letter grade?,Can you guess the purpose of our experiment? (optional)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID46""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID48_TEXT""}"
2019-12-05 15:26:46,2019-12-05 15:27:49,IP Address,107.242.117.11,100,62,True,2019-12-05 15:27:49,R_AM562gNL9rF24mt,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,3.414,32.245,32.892,22,Sophomore,Logical,A-(3.5-3.75),1.444,12.282,13.063,11,Senior,Emotional,B+(3.25-3.5),,,,,,,,Female,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:27:24,2019-12-05 15:29:49,IP Address,174.242.73.13,100,145,True,2019-12-05 15:29:50,R_2vjET0usvzZx4Ip,,,,,42.33990478515625,-71.1244964599609375,anonymous,EN,3.006,20.879,22.014,14,Junior,Emotional,B+(3.25-3.5),,,,,,,,3.343,15.466,17.227,9,Senior,Logical,A-(3.5-3.75),Male,Graduates,Logical,A(3.75-4.0),
2019-12-05 15:30:07,2019-12-05 15:30:52,IP Address,155.41.111.5,100,44,True,2019-12-05 15:30:52,R_2RXkdx5IhrwCF87,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,2.943,15.158,15.848,12,Junior,Logical,B(3.0-3.25),1.231,14.032,14.609,15,Senior,Emotional,A-(3.5-3.75),,,,,,,,Female,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:30:25,2019-12-05 15:31:20,IP Address,155.41.85.142,100,54,True,2019-12-05 15:31:20,R_s5R6ceOT9hpFB3H,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,4.474,25.633,26.047,10,Senior,Logical,B+(3.25-3.5),1.284,11.89,12.206,12,Sophomore,Emotional,B(3.0-3.25),,,,,,,,Male,Graduates,Logical,A-(3.5-3.75),
2019-12-05 15:30:49,2019-12-05 15:31:57,IP Address,107.77.195.36,100,67,True,2019-12-05 15:31:57,R_1o83Hg42xMclHto,,,,,42.4651947021484375,-83.37129974365234375,anonymous,EN,2.465,23.292,25.465,22,Senior,Logical,A-(3.5-3.75),,,,,,,,0.309,19.687,20.651,25,Junior,Logical,A-(3.5-3.75),Female,Graduates,Prefer not to say,A(3.75-4.0),
2019-12-05 15:22:32,2019-12-05 15:33:04,IP Address,107.77.225.73,100,631,True,2019-12-05 15:33:04,R_3Kvzz8a2GBaFzWg,,,,,40.7427978515625,-73.97119903564453125,anonymous,EN,0.746,4.206,5.683,7,Freshman,Logical,B+(3.25-3.5),,,,,,,,1.48,14.03,15.145,13,Sophomore,Emotional,A-(3.5-3.75),Female,Graduates,Emotional,A-(3.5-3.75),
2019-12-05 15:32:29,2019-12-05 15:33:17,IP Address,176.248.38.96,100,47,True,2019-12-05 15:33:17,R_3Jq7X1K960IJZZF,,,,,51.453399658203125,-2.5077056884765625,anonymous,EN,2.797,17.62,18.512,11,Sophomore,Logical,A-(3.5-3.75),2.116,7.935,8.672,9,Junior,Emotional,B-(2.75-3.0),,,,,,,,Male,Senior,Prefer not to say,B(3.0-3.25),
2019-12-05 15:34:45,2019-12-05 15:35:52,IP Address,72.70.60.23,100,66,True,2019-12-05 15:35:52,R_10oe3s8VMtI4LCS,,,,,42.4178009033203125,-71.1134033203125,anonymous,EN,2.319,30.159,31.046,16,Graduates,Emotional,B+(3.25-3.5),,,,,,,,3.606,15.528,16.367,11,Graduates,Logical,A-(3.5-3.75),Female,Senior,Emotional,B+(3.25-3.5),
